size,runtime_ms,flow_value,num_edges
50,0.513,50,50
50,0.734,50,50
50,0,50,50
50,0.663,50,50
50,0.699,50,50
100,2.018,100,100
100,1.017,100,100
100,2.019,100,100
100,0,100,100
100,1.842,100,100
200,6.161,200,200
200,5.432,200,200
200,5.546,200,200
200,2.737,200,200
200,14.62,200,200
300,14.051,300,300
300,14.728,300,300
300,11.436,300,300
300,15.109,300,300
300,17.571,300,300
400,37.102,400,400
400,19.423,400,400
400,30.943,400,400
400,32.702,400,400
400,29.341,400,400
500,46.75,500,500
500,53.684,500,500
500,55.123,500,500
500,50.136,500,500
500,48.836,500,500
750,163.098,750,750
750,157.907,750,750
750,172.105,750,750
750,158.199,750,750
750,151.466,750,750
1000,413.354,1000,1000
1000,336.367,1000,1000
1000,295.909,1000,1000
1000,283.441,1000,1000
1000,279.369,1000,1000
