size,runtime_ms,flow_value,num_edges
50,0,50,50
50,0,50,50
50,0,50,50
50,0,50,50
50,0,50,50
100,1.082,100,100
100,2.014,100,100
100,2.017,100,100
100,0,100,100
100,0,100,100
200,4.548,200,200
200,6.452,200,200
200,4.201,200,200
200,5.116,200,200
200,3.008,200,200
300,6.307,300,300
300,9.519,300,300
300,10.905,300,300
300,11.746,300,300
300,6.222,300,300
400,21.085,400,400
400,10.561,400,400
400,9.727,400,400
400,14.86,400,400
400,17.667,400,400
500,36.673,500,500
500,31.116,500,500
500,30.551,500,500
500,29.765,500,500
500,28.291,500,500
750,75.001,750,750
750,69.425,750,750
750,71.459,750,750
750,65.362,750,750
750,70.733,750,750
1000,165.125,1000,1000
1000,164.259,1000,1000
1000,165.326,1000,1000
1000,172.589,1000,1000
1000,170.978,1000,1000
